,TPM,Gene Heterogeneity,log10TPM,htg.qtl
HNRNPDL,51.320381192938726,0.71198260304545,1.7102898735285923,1.0
MRPS18C,36.73073094420327,0.6750776865952961,1.5650295709228992,0.5
H2AZ1,1364.834399819307,0.6533363327191988,3.1350799600891492,0.25
RPL34,4506.165446160232,0.45461280297013545,3.6538071330237147,0.25
ANXA5,100.83630193378777,0.6414326642966299,2.0036169099992573,0.25
NDUFC1,134.51133005166648,0.6589057597011301,2.1287588670274933,0.5
RPS3A,2181.807420693075,0.603998873224482,3.3388164145285244,0.25
SFRP2,106.39276358186339,0.6955516549386066,2.026912089957701,0.75
MSMO1,31.024918966062256,0.7056475517665044,1.4917106558391648,1.0
HMGB2,115.53717868681501,0.6846476613362136,2.062721758257255,0.5
ZFP42,40.56014718760075,0.6437219784915486,1.6080995223274201,0.25
MRPL36,194.76628578668084,0.7152127149616992,2.2895137822962126,1.0
NDUFS6,302.79328952779736,0.6589339705579477,2.48114624614725,0.5
CCT5,127.97326015178828,0.7177106557539341,2.1071192338533513,1.0
BASP1,46.10066773142471,0.6693656632293319,1.6637072158445936,0.5
SUB1,134.85300197516966,0.6991571124388252,2.1298606187662146,0.75
NUP155,16.73084943162851,0.6934883539643502,1.223517990819189,0.75
RPL37,142.43242997271827,0.48092264183871714,2.1536088836455725,0.25
HMGCS1,20.953047042010432,0.6881100163871013,1.3212471880329533,0.75
CCNB1,84.06571688637231,0.7159989095755844,1.9246189208559692,1.0
BTF3,359.12883281818745,0.7018672021638883,2.555250274051605,1.0
TBCA,150.9809818135766,0.7009157564230664,2.1789222452163646,0.75
RPS23,598.8987553495964,0.510836823856543,2.777353410520569,0.25
COX7C,1890.5804063196658,0.5714321584288258,3.2765951526207213,0.25
POLR3G,45.93556644424219,0.6545972255511924,1.662149076150302,0.25
HINT1,1010.4959874100623,0.6199834155331668,3.00453459330988,0.25
UQCRQ,932.09350060279,0.602699806662655,2.9694594796920653,0.25
HSPA4,52.036775623166264,0.604550842005995,1.7163103783497684,0.25
VDAC1,103.80547465004602,0.7163122043001167,2.0162202585953604,1.0
SKP1,32.52668175585951,0.7239614338532427,1.5122397605267122,1.0
HNRNPA0,31.11542511110763,0.7126898206350021,1.4929757388620941,1.0
HSPA9,41.4256671533688,0.6915017703347481,1.617269511386933,0.75
MATR3,58.64859923832213,0.6868672728591211,1.768257643896869,0.75
NDUFA2,237.23368177694437,0.6869033721009152,2.375176348989909,0.75
LARS1,59.96809995639251,0.712895347854178,1.7779202887656342,1.0
DPYSL3,60.04174369500557,0.6989177566008017,1.7784532962648163,0.75
RPS14,1451.6752605534307,0.534270020242806,3.1618694756457546,0.25
LARP1,53.78102972907527,0.6986424537374162,1.7306291132717002,0.75
PTTG1,440.2448361805067,0.7189301985762384,2.6436942706439397,1.0
NPM1,505.3241536627246,0.6950183559198744,2.703570057295696,0.75
ATP6V0E1,100.22626337874536,0.7099752812152548,2.000981539354682,1.0
BOD1,64.88844223386516,0.6866508348761495,1.812167348247873,0.75
NOP16,158.21088879354437,0.6918020192140311,2.1992363703134497,0.75
HIGD2A,326.53733165999466,0.6993394518295747,2.513932839537959,0.75
PRELID1,743.3945695240894,0.6925261135327088,2.8712193842626177,0.75
LMAN2,102.48460954234483,0.6983128177838404,2.0106586508289714,0.75
DBN1,43.236569725430726,0.6881455634214899,1.6358512308776727,0.75
TMED9,33.37636581714624,0.6909700866634219,1.5234390467984906,0.75
NHP2,623.7255099369438,0.6926828560241712,2.794993506754815,0.75
HNRNPAB,234.76130575346846,0.6815786090638039,2.3706265164146703,0.5
HNRNPH1,378.08596805896565,0.5666930084920713,2.5775905596485877,0.25
RACK1,2553.671153474473,0.5705839130962382,3.407164970677379,0.25
NQO2,73.84361614131659,0.7185740738513491,1.8683129560536869,1.0
TUBB2A,104.72589121317291,0.7187480990222576,2.020054064877767,1.0
TUBB2B,89.96585824402516,0.6307614821371992,1.9540777273351533,0.25
NOL7,75.88304033117588,0.6775215498255828,1.8801447230152666,0.5
JARID2,45.11408438635353,0.6865838569780262,1.6543121475622755,0.75
DEK,75.73138267244181,0.6786098887160418,1.879275886067053,0.5
SOX4,90.26059986320737,0.6609319397924787,1.9554982154727951,0.5
C6orf62,65.92047743580227,0.668430594481354,1.8190203441226687,0.5
H1-2,85.48976175344069,0.6625799371826275,1.9319141067723185,0.5
H4C3,9563.160335712757,0.4311913354940182,3.9806014372079432,0.25
H1-4,102.12490149926074,0.6900608076237232,2.009131650658238,0.75
HLA-A,96.94234428846337,0.6645825343332004,1.9865135177514341,0.5
TUBB,917.2130905046313,0.6665547890368796,2.9624702443716355,0.5
POU5F1,274.67618955172713,0.6597359022061956,2.4388210140092768,0.5
HLA-C,86.24834366733528,0.6666962999401002,1.9357507635361106,0.5
BAG6,46.09335406927663,0.6900466980548979,1.663638311526113,0.75
CSNK2B,279.64209279276724,0.6904656950924304,2.4466025436534715,0.75
CLIC1,184.37825537749924,0.7125032059397843,2.265709701281579,1.0
VARS1,54.06718703862547,0.737640850615815,1.7329337750614433,1.0
LSM2,182.86230018403484,0.6643143881512559,2.2621241783595316,0.5
EHMT2,49.460956418179535,0.668431180609627,1.6942625099856867,0.5
RNF5,150.7002451724789,0.7035719306632686,2.178113958863856,1.0
RPS18,8225.934867276326,0.43253981843617423,3.915185266455132,0.25
CUTA,585.283275622121,0.6891604380493274,2.767366114394722,0.75
HMGA1,838.4670152939807,0.6108511452147596,2.923485982436944,0.25
RPS10-NUDT3,11.049017612676844,0.5753601000821781,1.0433236658618654,0.25
SNRPC,475.3640803694464,0.7178838510379699,2.6770263623170636,1.0
RPL10A,3440.4352735161783,0.5373594866508422,3.5366133916783618,0.25
SRSF3,86.2679555572476,0.7078862685140829,1.9358495059232774,1.0
GLO1,90.42885672528476,0.6939267871124198,1.9563070401739513,0.75
AL365205.1,22.07559028662849,0.6876486363439495,1.3439123251509897,0.75
MEA1,239.11096926110525,0.7101781523756837,2.3785994999145816,1.0
DNPH1,176.62506185935692,0.7053858661184997,2.2470523269595035,1.0
MRPL14,432.055275816448,0.6967639800617448,2.6355393126630022,0.75
SLC29A1,34.86698097085827,0.626141523446597,1.5424143447244272,0.25
HSP90AB1,1250.2666151428923,0.6710260530201225,3.0970026347189474,0.5
MCM3,47.9512020300475,0.6761643667149638,1.6807994984404369,0.5
FKBP1C,59.38993232171466,0.7033129952133235,1.7737128303734584,1.0
EEF1A1,1540.2259995713011,0.6199605294219179,3.187584450164713,0.25
COX7A2,862.588675038126,0.640061844187419,2.935803751977408,0.25
HMGN3,89.94039958848579,0.6300376571203756,1.953954812725907,0.25
CD24,247.06413436609324,0.6912132417012783,2.392809704619312,0.75
AMD1,19.424092297085373,0.611716916728253,1.2883407330287941,0.25
MARCKS,86.1495479193488,0.7064269738055509,1.935253002774792,1.0
HDAC2,15.581462099208926,0.6862897476295334,1.1926082076257298,0.5
GJA1,41.230684012243046,0.7281065995115742,1.6152205397559687,1.0
CENPW,107.99886933168666,0.6931046389442705,2.0334192087686187,0.75
RPS12,6326.919406794133,0.44921454296939983,3.8011923023890506,0.25
SF3B5,468.58503325416376,0.7117990029305084,2.6707884129870787,1.0
NUP43,18.176705285958775,0.642523922865594,1.2595151656956187,0.25
EZR,127.58380267386481,0.6910986856799469,2.1057955422858656,0.75
WTAP,79.29935758010336,0.7018519686760512,1.8992696690257211,1.0
ACAT2,159.37345991895862,0.7323898153622129,2.202416001060041,1.0
TCP1,63.00011890066806,0.7084470007958134,1.7993413691020785,1.0
PSMB1,740.7306832323945,0.6883542735232681,2.869660334772454,0.75
PSMG3,167.675332637765,0.694012843091024,2.2244691765758473,0.75
NUDT1,264.5871732603512,0.6249944793053903,2.4225687864982155,0.25
EIF3B,148.66016586621467,0.7072193777876151,2.1721946130272802,1.0
ACTB,2027.3923104628477,0.6076715937327763,3.3069377949602137,0.25
RAC1,259.60804122897446,0.6941964893121302,2.4143181403906016,0.75
RPA3,78.09298828036445,0.7148845661680683,1.8926120417153354,1.0
NDUFA4,364.78330034687156,0.6341858913621098,2.5620349482605156,0.25
CDCA7L,83.78235294067608,0.6998635237792152,1.9231525529075433,0.75
TOMM7,505.64914523040795,0.6100457414651206,2.703849277428466,0.25
MALSU1,32.296363604431484,0.6622214367259693,1.509153625878022,0.5
TRA2A,50.18848230288758,0.6283277667068905,1.7006040628379244,0.25
CYCS,35.69959656453188,0.7160699720344893,1.5526633082469938,1.0
HNRNPA2B1,181.73149065879448,0.6804875255255597,2.2594301889170674,0.5
GARS1,77.91998767733921,0.6844435420491679,1.8916488751890395,0.5
